project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Salar de Uyuni,South America,Bolivia,Speculative projects,Direct Extraction,Brine,19600.0,25.0,Q4 (High Cost)
Tonopah II,North America,United States,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
Zeus,North America,United States,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
Sonora,South America,Mexico,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
McDermitt,North America,United States,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
Big Sandy,North America,United States,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
Clayton North,North America,United States,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
Tonopah Flats,North America,United States,Speculative projects,Open pit,Sedimentary,19669.56800794211,0.0,Q4 (High Cost)
Alvarrões,Europe,Portugal,Existing operations,Open pit,Pegmatite,20158.28686879276,4.26,Q4 (High Cost)
Magnolia,North America,United States,Speculative projects,Direct Extraction,Brine,20297.62172504756,0.0,Q4 (High Cost)
South West Arkansas,North America,United States,Speculative projects,Direct Extraction,Brine,20297.62172504756,0.0,Q4 (High Cost)
Arcadia,Africa,Zimbabwe,Existing operations,Open pit,Pegmatite,20936.402496725736,51.93,Q4 (High Cost)
Yiliping,Asia,China,Existing operations,Direct Extraction,Brine,22107.780364899536,14.0,Q4 (High Cost)
Balun Mahai,Asia,China,Existing operations,Direct Extraction,Brine,22550.0,3.0,Q4 (High Cost)
Paradox,North America,United States,Speculative projects,Direct Extraction,Brine,22770.0,13.07,Q4 (High Cost)
Qarhan I,Asia,China,Existing operations,Direct Extraction,Brine,23650.0,10.0,Q4 (High Cost)
Lazio,Europe,Italy,Speculative projects,Direct Extraction,Brine,24142.021792378688,0.0,Q4 (High Cost)
Boron,North America,United States,Existing operations,Tailings,Sedimentary,25000.0,1.5,Q4 (High Cost)
Karibib,Africa,Namibia,Existing operations,Open pit,Pegmatite,28992.44749437233,1.0,Q4 (High Cost)
